Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
KW15 1AA,Yes,58.983311,-2.960721,344877,1011082,HY448110,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AB,Yes,58.983460,-2.961125,344854,1011099,HY448110,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AD,No,58.983196,-2.960509,344889,1011069,HY448110,Kirkwall West and Orphir,,1996-12-01,2005-03-01,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AE,Yes,58.982763,-2.962103,344797,1011022,HY447110,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AF,Yes,58.982399,-2.962522,344772,1010982,HY447109,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AG,Yes,58.982005,-2.962389,344779,1010938,HY447109,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AH,Yes,58.983393,-2.964150,344680,1011094,HY446110,Kirkwall West and Orphir,,2004-02-01,,1,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AJ,No,58.983496,-2.961161,344852,1011103,HY448111,Kirkwall West and Orphir,,1995-12-01,2004-01-01,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AL,Yes,58.981545,-2.963820,344696,1010888,HY446108,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AN,Yes,58.981167,-2.964163,344676,1010846,HY446108,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AP,Yes,58.980882,-2.963663,344704,1010814,HY447108,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AQ,Yes,58.981167,-2.962714,344759,1010845,HY447108,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AR,Yes,58.980500,-2.963130,344734,1010771,HY447107,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AS,Yes,58.980108,-2.962829,344751,1010727,HY447107,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AT,Yes,58.979013,-2.963819,344692,1010606,HY446106,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AU,Yes,58.978834,-2.963959,344684,1010586,HY446105,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AW,No,58.980435,-2.965790,344581,1010766,HY445107,Kirkwall West and Orphir,,1980-01-01,2006-07-01,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AX,Yes,58.978836,-2.963628,344703,1010586,HY447105,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1AY,Yes,58.977651,-2.964726,344638,1010455,HY446104,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1AZ,Yes,58.977230,-2.966831,344516,1010410,HY445104,Kirkwall West and Orphir,,1980-01-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BA,Yes,58.977683,-2.969957,344337,1010463,HY443104,Kirkwall West and Orphir,,1980-01-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BB,Yes,58.975965,-2.969219,344377,1010271,HY443102,Kirkwall West and Orphir,,1980-01-01,,14,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BD,Yes,58.975657,-2.967065,344500,1010235,HY445102,Kirkwall West and Orphir,,1980-01-01,,12,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BE,Yes,58.977410,-2.964418,344655,1010428,HY446104,Kirkwall West and Orphir,,1980-01-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BF,Yes,58.978544,-2.970121,344329,1010559,HY443105,Kirkwall West and Orphir,,1998-12-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BG,Yes,58.977075,-2.964953,344624,1010391,HY446103,Kirkwall West and Orphir,,1980-01-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BH,Yes,58.976377,-2.965624,344584,1010314,HY445103,Kirkwall West and Orphir,,1993-08-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BJ,Yes,58.974991,-2.964750,344632,1010159,HY446101,Kirkwall West and Orphir,,1980-01-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1BL,Yes,58.975109,-2.963646,344696,1010171,HY446101,Kirkwall West and Orphir,,1980-01-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BN,Yes,58.976808,-2.963166,344726,1010360,HY447103,Kirkwall West and Orphir,,1980-01-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BP,Yes,58.976647,-2.961961,344795,1010341,HY447103,Kirkwall West and Orphir,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BQ,Yes,58.974628,-2.962862,344740,1010117,HY447101,Kirkwall West and Orphir,,1994-10-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BS,Yes,58.977290,-2.961197,344840,1010412,HY448104,Kirkwall West and Orphir,,1980-01-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1BT,Yes,58.977065,-2.963660,344698,1010389,HY446103,Kirkwall West and Orphir,,1980-01-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BU,Yes,58.978091,-2.962355,344775,1010502,HY447105,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1BW,Yes,58.975711,-2.962214,344779,1010237,HY447102,Kirkwall West and Orphir,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1BX,Yes,58.980410,-2.964310,344666,1010762,HY446107,Kirkwall West and Orphir,,2005-02-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1BY,Yes,58.978922,-2.972503,344193,1010603,HY441106,Kirkwall West and Orphir,,2001-06-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1BZ,Yes,58.978565,-2.966300,344549,1010558,HY445105,Kirkwall West and Orphir,,2006-11-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1DA,Yes,58.978732,-2.982256,343632,1010590,HY436105,Kirkwall West and Orphir,,2018-07-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1DB,Yes,58.979679,-2.967265,344495,1010683,HY444106,Kirkwall West and Orphir,,1992-10-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1DD,Yes,58.983311,-2.960721,344877,1011082,HY448110,Kirkwall West and Orphir,,1999-06-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1DE,Yes,58.975032,-2.952129,345358,1010153,HY453101,Kirkwall East,,1994-06-01,,48,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011823,East Kirkwall - 01,,East Kirkwall - 01
KW15 1DF,Yes,58.982261,-2.960604,344882,1010965,HY448109,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DG,Yes,58.981002,-2.960865,344865,1010825,HY448108,Kirkwall East,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DH,Yes,58.981603,-2.960864,344866,1010892,HY448108,Kirkwall West and Orphir,,1980-01-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DJ,Yes,58.981883,-2.960965,344861,1010923,HY448109,Kirkwall West and Orphir,,1999-06-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DL,Yes,58.978526,-2.968902,344399,1010556,HY443105,Kirkwall West and Orphir,,2006-11-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1DN,Yes,58.980206,-2.961521,344826,1010737,HY448107,Kirkwall East,,1980-01-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DP,Yes,58.983311,-2.960721,344877,1011082,HY448110,Kirkwall West and Orphir,,1996-12-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1DQ,Yes,58.979155,-2.961562,344822,1010620,HY448106,Kirkwall East,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DR,Yes,58.977991,-2.968545,344419,1010496,HY444104,Kirkwall West and Orphir,,2007-03-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1DS,Yes,58.980277,-2.961842,344808,1010745,HY448107,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DT,Yes,58.980025,-2.962026,344797,1010717,HY447107,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DU,Yes,58.979601,-2.962061,344794,1010670,HY447106,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DW,No,58.980774,-2.961311,344839,1010800,HY448108,Kirkwall East,,1993-05-01,2008-12-01,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DX,Yes,58.979547,-2.962060,344794,1010664,HY447106,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DY,Yes,58.978991,-2.960687,344872,1010601,HY448106,Kirkwall East,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DZ,Yes,58.979476,-2.960753,344869,1010655,HY448106,Kirkwall East,,1980-01-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1EA,Yes,58.978699,-2.962506,344767,1010570,HY447105,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1EB,Yes,58.978493,-2.960030,344909,1010545,HY449105,Kirkwall East,,1980-01-01,,12,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1ED,Yes,58.991278,-2.944956,345796,1011956,HY457119,Kirkwall East,,2021-12-01,,16,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1EE,Yes,58.977035,-2.960494,344880,1010383,HY448103,Kirkwall West and Orphir,,1980-01-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EF,Yes,58.975633,-2.960594,344872,1010227,HY448102,Kirkwall West and Orphir,,1980-01-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EG,Yes,58.975890,-2.959836,344916,1010255,HY449102,Kirkwall West and Orphir,,1980-01-01,,15,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EH,Yes,58.976168,-2.959948,344910,1010286,HY449102,Kirkwall West and Orphir,,1980-01-01,,15,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EJ,Yes,58.976493,-2.959626,344929,1010322,HY449103,Kirkwall West and Orphir,,1980-01-01,,17,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EL,Yes,58.976153,-2.959530,344934,1010284,HY449102,Kirkwall West and Orphir,,1980-01-01,,17,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EN,Yes,58.973637,-2.954833,345200,1010000,HY452100,Kirkwall West and Orphir,,1980-01-01,,37,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1EP,Yes,58.975684,-2.956177,345126,1010229,HY451102,Kirkwall West and Orphir,,1980-01-01,,35,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EQ,Yes,58.975636,-2.959028,344962,1010226,HY449102,Kirkwall West and Orphir,,1980-01-01,,20,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1ER,Yes,58.974376,-2.955689,345152,1010083,HY451100,Kirkwall West and Orphir,,1980-01-01,,35,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1ES,Yes,58.974266,-2.954798,345203,1010070,HY452100,Kirkwall West and Orphir,,1980-01-01,,40,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1ET,Yes,58.975301,-2.956932,345082,1010187,HY450101,Kirkwall West and Orphir,,1980-01-01,,31,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EU,Yes,58.974598,-2.958513,344990,1010110,HY449101,Kirkwall West and Orphir,,1980-01-01,,20,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EW,Yes,58.974784,-2.957578,345044,1010130,HY450101,Kirkwall West and Orphir,,1980-01-01,,25,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1EX,Yes,58.977964,-2.967147,344499,1010492,HY444104,Kirkwall West and Orphir,,2007-07-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1EY,Yes,58.975785,-2.948654,345559,1010234,HY455102,Kirkwall East,,2009-02-01,,41,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011815,East Mainland - 03,,East Mainland - 03
KW15 1EZ,Yes,58.979149,-2.961179,344844,1010619,HY448106,Kirkwall East,,1980-01-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1FA,Yes,58.986236,-2.940520,346043,1011391,HY460113,Kirkwall East,,2017-03-01,,28,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1FB,Yes,58.970693,-2.947239,345632,1009666,HY456096,Kirkwall East,,1995-12-01,,57,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FD,Yes,58.970497,-2.946990,345646,1009644,HY456096,Kirkwall East,,1995-12-01,,58,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FE,Yes,58.970383,-2.947891,345594,1009632,HY455096,Kirkwall East,,1995-12-01,,56,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FF,Yes,58.969533,-2.948685,345547,1009538,HY455095,Kirkwall East,,2004-03-01,,59,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FG,Yes,58.971315,-2.948212,345577,1009736,HY455097,Kirkwall East,,1996-06-01,,53,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FH,Yes,58.971361,-2.949170,345522,1009742,HY455097,Kirkwall East,,1996-06-01,,51,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1FJ,Yes,58.980124,-2.971331,344262,1010736,HY442107,Kirkwall West and Orphir,,1996-06-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1FL,Yes,58.991009,-2.972722,344200,1011949,HY441119,Kirkwall West and Orphir,,1996-12-01,,10,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1FN,Yes,58.974964,-2.950295,345463,1010144,HY454101,Kirkwall East,,2007-05-01,,47,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011815,East Mainland - 03,,East Mainland - 03
KW15 1FP,Yes,58.986329,-2.999762,342638,1011451,HY426114,Kirkwall West and Orphir,,1996-12-01,,89,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1FQ,Yes,58.984374,-2.940869,346020,1011184,HY460111,Kirkwall East,,2002-11-01,,36,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1FR,Yes,58.984410,-2.941961,345957,1011189,HY459111,Kirkwall East,,1996-12-01,,37,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1FS,Yes,58.986426,-2.944074,345839,1011415,HY458114,Kirkwall East,,2015-06-01,,26,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1FT,Yes,58.979900,-2.968837,344405,1010709,HY444107,Kirkwall West and Orphir,,1999-12-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1FU,Yes,58.985793,-2.942091,345952,1011343,HY459113,Kirkwall East,,2012-09-01,,25,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1FW,Yes,58.974093,-2.950364,345458,1010047,HY454100,Kirkwall East,,2019-04-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011815,East Mainland - 03,,East Mainland - 03
KW15 1FX,Yes,58.974474,-2.951070,345418,1010090,HY454100,Kirkwall East,,2017-04-01,,47,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011815,East Mainland - 03,,East Mainland - 03
KW15 1FY,Yes,58.979297,-2.968112,344446,1010641,HY444106,Kirkwall West and Orphir,,2010-06-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
