Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
KW15 1AD,No,58.983196,-2.960509,344889,1011069,HY448110,Kirkwall West and Orphir,,1996-12-01,2005-03-01,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1AU,Yes,58.978834,-2.963959,344684,1010586,HY446105,Kirkwall West and Orphir,,1980-01-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1BA,Yes,58.977683,-2.969957,344337,1010463,HY443104,Kirkwall West and Orphir,,1980-01-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1BF,Yes,58.978544,-2.970121,344329,1010559,HY443105,Kirkwall West and Orphir,,1998-12-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1DT,Yes,58.980025,-2.962026,344797,1010717,HY447107,Kirkwall West and Orphir,,1980-01-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1DX,Yes,58.979547,-2.962060,344794,1010664,HY447106,Kirkwall West and Orphir,,1980-01-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1EQ,Yes,58.975636,-2.959028,344962,1010226,HY449102,Kirkwall West and Orphir,,1980-01-01,,20,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1GQ,Yes,58.985320,-2.941678,345975,1011290,HY459112,Kirkwall East,,2014-09-01,,28,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1HF,Yes,58.982287,-2.959561,344942,1010967,HY449109,Kirkwall East,,1980-01-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1LY,Yes,58.984462,-2.944642,345803,1011197,HY458111,Kirkwall East,,1980-01-01,,37,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1NE,Yes,58.983185,-2.954628,345227,1011063,HY452110,Kirkwall East,,1980-01-01,,12,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011825,East Kirkwall - 03,,East Kirkwall - 03
KW15 1NF,Yes,58.982563,-2.952488,345349,1010992,HY453109,Kirkwall East,,1980-01-01,,19,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011825,East Kirkwall - 03,,East Kirkwall - 03
KW15 1NU,Yes,58.984299,-2.960661,344882,1011192,HY448111,Kirkwall West and Orphir,,2001-12-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1PE,Yes,58.981247,-2.954348,345240,1010847,HY452108,Kirkwall East,,1980-01-01,,18,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011825,East Kirkwall - 03,,East Kirkwall - 03
KW15 1QD,Yes,58.976318,-2.956647,345100,1010300,HY450103,Kirkwall West and Orphir,,1980-01-01,,33,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1QG,Yes,58.977676,-2.956337,345120,1010451,HY451104,Kirkwall West and Orphir,,1980-01-01,,32,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011823,East Kirkwall - 01,,East Kirkwall - 01
KW15 1QL,Yes,58.978326,-2.950979,345429,1010519,HY454105,Kirkwall East,,1980-01-01,,35,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011823,East Kirkwall - 01,,East Kirkwall - 01
KW15 1RB,Yes,58.979529,-2.936475,346265,1010641,HY462106,Kirkwall East,,1987-04-01,,53,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1SL,Yes,58.969344,-2.952367,345335,1009520,HY453095,Kirkwall East,,1980-03-01,,52,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1SQ,Yes,58.976767,-2.969879,344340,1010361,HY443103,Kirkwall West and Orphir,,1980-01-01,,15,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1SW,Yes,58.972764,-2.950131,345469,1009899,HY454098,Kirkwall East,,1980-01-01,,50,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011818,West Kirkwall - 01,,West Kirkwall - 01
KW15 1SX,Yes,58.952617,-2.960319,344851,1007664,HY448076,Kirkwall East,,1980-01-01,,57,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011813,East Mainland - 01,,East Mainland - 01
KW15 1SZ,Yes,58.978627,-2.936863,346241,1010541,HY462105,Kirkwall East,,1980-01-01,,51,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1TT,Yes,58.995521,-3.093681,337257,1012559,HY372125,West Mainland,,1980-01-01,,40,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011808,West Mainland - 01,,West Mainland - 01
KW15 1UF,Yes,58.995681,-2.928507,346748,1012433,HY467124,Kirkwall East,,2002-11-01,,35,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1WY,Yes,58.975163,-2.969596,344354,1010182,HY443101,Kirkwall West and Orphir,,2012-05-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1XR,Yes,58.985516,-2.974672,344079,1011339,HY440113,Kirkwall West and Orphir,,2013-07-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1ZD,No,58.983196,-2.960509,344889,1011069,HY448110,Kirkwall West and Orphir,,2002-06-01,2004-03-01,5,Scotland,2024-05-24,Imputed by ONS by reference to surrounding postcode grid references,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1ZH,Yes,58.983763,-2.975922,344004,1011145,HY440111,Kirkwall West and Orphir,,2012-09-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1ZR,Yes,58.985636,-2.945236,345771,1011328,HY457113,Kirkwall East,,2015-09-01,,27,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW16 3AA,Yes,58.963333,-3.297682,325466,1009185,HY254091,Stromness and South Isles,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011805,"Stromness, Sandwick and Stenness - 02",,"Stromness, Sandwick and Stenness - 02"
KW16 3AZ,Yes,58.963542,-3.303749,325118,1009215,HY251092,Stromness and South Isles,,1980-01-01,,46,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011805,"Stromness, Sandwick and Stenness - 02",,"Stromness, Sandwick and Stenness - 02"
KW16 3BP,Yes,58.963687,-3.301876,325226,1009229,HY252092,Stromness and South Isles,,1994-02-01,,11,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011806,"Stromness, Sandwick and Stenness - 03",,"Stromness, Sandwick and Stenness - 03"
KW16 3BW,Yes,58.965943,-3.286407,326120,1009463,HY261094,Stromness and South Isles,,2005-04-01,,15,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011806,"Stromness, Sandwick and Stenness - 03",,"Stromness, Sandwick and Stenness - 03"
