Year,Coal,Hydro,Gas,Diesel,Wind,Solar
1940,0,3,0,0,0,0
1945,0,3,0,0,0,0
1950,0,3,0,0,0,0
1955,0,10,0,0,0,0
1960,30,10,0,0,0,0
1965,30,10,0,0,0,0
1970,30,10,5,0,0,0
1975,30,10,10,0,0,0
1980,30,10,15,0,0,0
1985,30,10,20,0,0,0
1990,30,10,20,0,0,0
1995,30,10,20,0,0,0
2000,30,10,20,3,0,0
2005,30,10,30,5,0,0
2010,30,10,30,5,0,0
2015,30,10,30,5,0,0
2020,15,10,15,5,0,0
2025,15,10,15,5,40,10
2030,15,10,15,3,40,10
2035,0,10,15,0,40,10
2040,0,10,5,0,40,10
2045,0,10,5,0,40,10
2050,0,10,5,0,160,40
2055,0,10,5,0,160,40
2060,0,10,0,0,160,40
2065,0,10,0,0,160,40
2070,0,10,0,0,160,40
2075,0,10,0,0,160,40
2080,0,10,0,0,160,40
2085,0,10,0,0,160,40
2090,0,10,0,0,160,40
2095,0,10,0,0,160,40
2100,0,10,0,0,160,40
